transcription,LaTeX,Source,whisper_base_predSE,whisper_medium_predSE
minus one over u plus a constant,$-\frac{1}{u}+\text{const.}$,https://www.youtube.com/watch?v=CXKoCMVqM9s,minus 1 over u plus a constant.,minus 1 over u plus a constant.
1 over the square root of x squared minus 1,$1\over \sqrt{x^{2} - 1}$,https://www.youtube.com/watch?v=CXKoCMVqM9s,1 over the square root of x squared minus 1.,1 over the square root of x squared minus 1.
square root of a squared minus x squared,$\sqrt{a^{2}-x^{2}}$,https://www.youtube.com/watch?v=CXKoCMVqM9s,square root of a squared minus x squared.,square root of a squared minus x squared.
 x is a times the sine of theta,$x=a\sin(\theta)$,https://www.youtube.com/watch?v=CXKoCMVqM9s,x is a times the sine of theta.,x is a times the sine of theta.
dx over x squared plus 4x,$\frac{dx}{x^{2}+4x}$,https://www.youtube.com/watch?v=CXKoCMVqM9s,dx over x squared plus 4x.,dx over x squared plus 4x.
x squared plus 4x is u squared minus 4,$x^{2}+4x=u^{2}-4$,https://www.youtube.com/watch?v=CXKoCMVqM9s,x squared plus 4x is u squared minus 4.,x squared plus 4x is u squared minus 4.
4 times the tangent squared of theta,$4\tan^{2}(\theta)$,https://www.youtube.com/watch?v=CXKoCMVqM9s,4 times the tangent squared of theta.,4 times the tangent squared of theta.
square root of u squared minus 4,$\sqrt{u^{2}-4}$,https://www.youtube.com/watch?v=CXKoCMVqM9s,square root of u squared minus 4.,The square root of u squared minus 4.
du is 2 secant theta tangent theta d theta.,$du=2\sec \theta \tan \theta d\theta $,https://www.youtube.com/watch?v=CXKoCMVqM9s,du is 2 secant theta tangent theta d theta.,du is 2 secant theta tangent theta d theta.
natural logarithm of x plus 2 over 2 ,$\ln({\frac{x+2}{2}})$,https://www.youtube.com/watch?v=CXKoCMVqM9s,the natural logarithm of x plus 2 over 2.,The natural logarithm of x plus 2 over 2.
e of x divided by q of x,$\frac{e^x}{q(x)}$,https://www.youtube.com/watch?v=HgEqXhsIq_g,P of X divided by Q of X.,E of x divided by q of x.
natural log of x minus 1 plus 3 times natural log of x plus 3,$\ln(x-1)+3\ln(x+3)$,https://www.youtube.com/watch?v=HgEqXhsIq_g,natural log of x minus 1 plus 3 times natural log of x plus 3.,Natural log of x minus 1 plus 3 times natural log of x plus 3.
3 times x minus 1,$3\times(x-1)$,https://www.youtube.com/watch?v=HgEqXhsIq_g,3 times x minus 1.,3 times x minus 1.
four x plus two minus three,$(4x+2-3)$,https://www.youtube.com/watch?v=HgEqXhsIq_g,4x plus 2 minus 3.,4x plus 2 minus 3.
b times x plus two times x minus one,$b(x+2)(x-1)$,https://www.youtube.com/watch?v=HgEqXhsIq_g,B times x plus 2 times x minus 1.,B times x plus 2 times x minus 1.
1 over x minus 1 plus 3 over x plus 2,$\frac{1}{x-1}+\frac{3}{x+2}$,https://www.youtube.com/watch?v=HgEqXhsIq_g,1 over x minus 1 plus 3 over x plus 2.,1 over x minus 1 plus 3 over x plus 2.
a times x minus 1 times x plus 2,$a(x-1)(x+2)$,https://www.youtube.com/watch?v=HgEqXhsIq_g,A times x minus 1 times x plus 2.,a times x-1 times x-2.
minus eight minus one divided by minus two minus one is equal to b,$\frac{-8-1}{-2-1}=b$,https://www.youtube.com/watch?v=HgEqXhsIq_g,minus 8 minus 1 divided by minus 2 minus 1 is equal to b.,Minus 8 minus 1 divided by minus 2 minus 1 is equal to b.
four x minus one,$(4x\ -\ 1)$,https://www.youtube.com/watch?v=HgEqXhsIq_g,4x minus 1,4x minus 1
four minus one divided by one plus two is equal to a,$\frac{4-1}{1+2}=a$,https://www.youtube.com/watch?v=HgEqXhsIq_g,4 minus 1 divided by 1 plus 2 is equal to a.,4 minus 1 divided by 1 plus 2 is equal to a.
x minus one times x minus two times x plus five,$(x-1)(x-2)(x+5)$,https://www.youtube.com/watch?v=HgEqXhsIq_g,x minus 1 times x minus 2 times x plus 5.,x-1 times x-2 times x 5.
x plus five,$\displaystyle x+5$,https://www.youtube.com/watch?v=HgEqXhsIq_g,x plus 5.,x plus 5.
b over x minus 1 squared,$\frac{b}{(x-1)^{2}}$,https://www.youtube.com/watch?v=HgEqXhsIq_g,B over x minus 1 squared.,B over x minus 1 squared.
"negative a, plus 1, plus 1 3rd.",$-a+1+\frac{1}{3}$,https://www.youtube.com/watch?v=HgEqXhsIq_g,Negative a plus 1 plus a third.,Negative a plus 1 plus 1 third.
"1 squared divided by 1 squared plus 1,",$1^{2}/(1^{2}+1)$,https://www.youtube.com/watch?v=HgEqXhsIq_g,1 squared divided by 1 squared plus 1.,1 squared divided by 1 squared plus 1.
 a times x squared plus 1,$ax^{2}+1$,https://www.youtube.com/watch?v=HgEqXhsIq_g,A times x squared plus 1.,a times x squared plus 1.
x cubed plus one,$\mathcal{x}^3+{1}$,https://www.youtube.com/watch?v=HgEqXhsIq_g,XQ plus one.,An x cubed plus 1.
x plus 1 times x squared plus x plus 1,$(x+1)(x^{2}+x+1)$,https://www.youtube.com/watch?v=HgEqXhsIq_g,x plus 1 times x squared plus x plus 1.,x squared plus x plus 1.
half the argtangent,$\displaystyle \frac{1}{2}\arctan $,https://www.youtube.com/watch?v=HgEqXhsIq_g,half the arc tangent.,Half the arctangent.
d by dx of natrual log of x squared plus 1 is 2x over x squared plus 1,$\frac{d}{dx}(\ln(x^{2}+1))=\frac{2x}{x^{2}+1}$,https://www.youtube.com/watch?v=HgEqXhsIq_g,d by dx of natural log of x squared plus 1 is 2x over x squared plus 1.,d by dx of natural log of x squared plus 1 is 2x over x squared plus 1.
x cubed plus x squared minus 2x,$x^{3}+x^{2}-2x$,https://www.youtube.com/watch?v=HgEqXhsIq_g,xq plus x squared minus 2x.,At x cubed plus x squared minus 2x.
b3 x plus c3 x squared plus 4 cubed,$b_3 x+c_3 x^{2}+4^{3}$,https://www.youtube.com/watch?v=aeXp1zC6Hls,B3 x plus c3 x squared plus 4 cubed.,B 3 x plus c 3 x squared plus 4 cubed.
r of x is equal to a11 x to the 11th plus a10 x to the 10th,$r(x)=a_{11}x^{11}+a_{10}x^{10}$,https://www.youtube.com/watch?v=aeXp1zC6Hls,r of x is equal to a 11 x to the 11th plus a 10 x to the 10th.,r of x is equal to a11 x to the 11th plus a10 x to the 10th.
x is equal to two tan u,$x=2\tan u$ ,https://www.youtube.com/watch?v=aeXp1zC6Hls,X is equal to 2 tan u.,x is equal to 210u.
dx is 2 secant squared u du,$dx= 2\sec^{2}udu$,https://www.youtube.com/watch?v=aeXp1zC6Hls,DX is 2 secant squared u du.,dx is 2 secant squared u du.
cosine squared of two u,$\cos^{2}(2u)$,https://www.youtube.com/watch?v=aeXp1zC6Hls,The cosine squared of 2u and,At a cosine squared of 2u.
u is a log x,$u=\log x$,https://www.youtube.com/watch?v=aeXp1zC6Hls,U is Log X.,U is log x.
u prime is one over x,$u^{\prime}= 1/x$,https://www.youtube.com/watch?v=aeXp1zC6Hls,U prime is 1 over x.,u' is 1 over x.
x log x minus x plus c,$x\log x-x+C$,https://www.youtube.com/watch?v=aeXp1zC6Hls,x log x minus x plus c.,x log x minus x plus z.
log x squared,$(\log x)^{2}$,https://www.youtube.com/watch?v=aeXp1zC6Hls,"Blog X, squared.",log x squared.
u prime is 2 log x times 1 over x,$u^{\prime}=2\log x\times 1/x$,https://www.youtube.com/watch?v=aeXp1zC6Hls,u prime is 2 log x times 1 over x.,u' is 2 log x times 1 over x.
u prime is n times log x to the n minus 1 times 1 over x,$u^{\prime}=n(\log x)^{n-1}\cdot\frac{1}{x}$,https://www.youtube.com/watch?v=aeXp1zC6Hls,u prime is n times log x to the n minus 1 times 1 over x.,u' is n times ln x to the n-1 times 1 over x.
log x to the zero power dx,$\log x^{0}dx$,https://www.youtube.com/watch?v=aeXp1zC6Hls,Log x to the zero power dx.,log x to the 0 power dx.
x log x squared minus twice f one of x,$x(\log x)^{2}-2f_{1}(x)$,https://www.youtube.com/watch?v=aeXp1zC6Hls,x log x squared minus twice f1 of x.,x log x squared minus twice f1 of x.
x to the n e to the x dx,$x^{n}e^{x}dx$,https://www.youtube.com/watch?v=aeXp1zC6Hls,x to the n e to the x dx.,"x to the n, e to the x dx."
n times g n minus 1 of x,$n\cdot g_{n-1}(x)$,https://www.youtube.com/watch?v=aeXp1zC6Hls,n times g n minus 1 of x.,n times g n minus 1 of x.
x e to the x minus e to the x,$\displaystyle \operatorname{xe^{x} - e^{x}}$,https://www.youtube.com/watch?v=aeXp1zC6Hls,x e to the x minus e to the x.,x e to the x minus e to the x.
y log y squared minus 2y log y minus y,$\displaystyle y (\log y)^{2}-2y\log y-y$,https://www.youtube.com/watch?v=aeXp1zC6Hls,It's y log y squared minus 2y log y minus y.,It's y log y squared minus 2y log y minus y.
2 pi e x dx,$2\pi exdx$,https://www.youtube.com/watch?v=aeXp1zC6Hls,2 pi e x dx.,2 pi ex dx.
e times two pi times x,$e^{(2\pi x)}$,https://www.youtube.com/watch?v=aeXp1zC6Hls,"E times 2 pi times x, that's this.","E times 2 pi times x, that's this."
the integral of 2 pi x e minus e to the x dx,$\int2\pi x (e - e^x)dx$,https://www.youtube.com/watch?v=aeXp1zC6Hls,the integral of 2 pi x e minus e to the x dx.,The integral of 2pi x e- e to the x dx.
2 pi e integral of x dx from 0 to 1 minus 2 pi integral from 0 to 1 of x e to the x dx,$\displaystyle 2\pi e\int _{0}^{1} xdx - 2\pi \int _{0}^{1}xe^{x}dx$,https://www.youtube.com/watch?v=aeXp1zC6Hls,2 pi e integral of x dx from 0 to 1 minus 2 pi integral from x e to the x dx dx.,2 pi e integral of x dx from 0 to 1 minus 2 pi integral from 0 to 1 of x e to the x dx.
delta x squared plus delta y squared,$\Delta x^{2}+\Delta y^{2}$,https://www.youtube.com/watch?v=TpWQlKHPyJ4,delta x squared plus delta y squared.,Delta x squared plus delta y squared.
1 plus dy dx the quantity squared,$1+(\frac{dy}{dx})^{2}$,https://www.youtube.com/watch?v=TpWQlKHPyJ4,"1 plus dy dx, the quantity squared.","1 plus dy dx, the quantity squared."
the integral from a to b of the square root of 1 plus dy dx squared dx,$\int_{a}^{b}\sqrt{1 +(\frac{dy}{dx})^{2}}dx$,https://www.youtube.com/watch?v=TpWQlKHPyJ4,The integral from a to b of the square root of 1 plus dy dx squared dx.,The integral from a to b of the square root of 1 plus dy dx squared dx.
square root of 1 plus f prime of x squared dx,$\displaystyle \sqrt{1+f^{\prime}(x)^{2}}dx$,https://www.youtube.com/watch?v=TpWQlKHPyJ4,square root of one plus f prime of x squared dx.,square root of 1 plus f' x squared dx.
square root of 1 plus m squared,$\sqrt{1+m^{2}}$,https://www.youtube.com/watch?v=TpWQlKHPyJ4,square root of 1 plus m squared.,square root of 1 plus m squared.
 the integral from 0 to 10 of the square root of 1 plus m squared dx,$\int_{0}^{10}\sqrt{1+m^{2}}dx$,https://www.youtube.com/watch?v=TpWQlKHPyJ4,the integral from 0 to 10 of the square root of 1 plus m squared dx.,The integral from 0 to 10 of the square root of 1 plus m squared dx.
y equals square root of 1 minus x squared,$y=\sqrt{1-x^{2}}$,https://www.youtube.com/watch?v=TpWQlKHPyJ4,So y equals square root of 1 minus x squared.,So y equals square root of 1 minus x squared.
square root of 1 plus y prime squared dx,$\sqrt{1+(y^{\prime})^2}dx$,https://www.youtube.com/watch?v=TpWQlKHPyJ4,square root of 1 plus y prime squared dx.,square root of 1 plus y' squared dx.
"1 plus the quantity minus x over square root of 1 minus x squared, squared",$1+(-\frac{x}{\sqrt{1-x^{2}}})^{2}$,https://www.youtube.com/watch?v=TpWQlKHPyJ4,1 plus the quantity minus x over square root of 1 minus x squared squared.,"1 plus the quantity minus x over square root of 1 minus x squared, squared."
 x squared over 1 minus x squared,$\frac{x^{2}}{1-x^{2}}$,https://www.youtube.com/watch?v=TpWQlKHPyJ4,x squared over 1 minus x squared.,x squared over 1 minus x squared.
sine inverse of a,$\sin^{-1}(a)$,https://www.youtube.com/watch?v=TpWQlKHPyJ4,sign inverse of A.,sign inverse of A.
y prime is 2x,$y^{\prime}=2x$,https://www.youtube.com/watch?v=TpWQlKHPyJ4,Y prime is 2x.,y' is 2x.
the square root of 1 plus the quantity 2x squared dx.,$\sqrt{1+(2x)^{2}}dx$,https://www.youtube.com/watch?v=TpWQlKHPyJ4,The square root of 1 plus the quantity 2x squared dx.,The square root of 1 plus the quantity 2x squared dx.
the integral from 0 to a of square root of 1 plus 4x squared dx,$\int_{0}^{a}\sqrt{1+4x^{2}}dx$,https://www.youtube.com/watch?v=TpWQlKHPyJ4,The integral from 0 to a of square root of 1 plus 4x squared dx.,The integral from 0 to a of square root of 1 plus 4x squared dx.
dx is equal to a half secant squared u du,$dx\mathrel{\mathop{}}=\frac{1}{2}\sec^{2}udu$,https://www.youtube.com/watch?v=TpWQlKHPyJ4,dx is equal to a half secant squared u du.,dx is equal to 1 by 2 secant squared udu.
x equals a half tan u,$x=\frac{1}{2}\tan u$,https://www.youtube.com/watch?v=TpWQlKHPyJ4,x equals a half tan u.,x equals 1 by 2 tan u.
 x squared over a squared minus x squared,$x^{2}/a^{2}-x^{2}$,https://www.youtube.com/watch?v=TpWQlKHPyJ4,x squared over a squared minus x squared.,x squared over a squared minus x squared.
square root a squared minus x squared,$\sqrt{a^{2}-x^{2}}$,https://www.youtube.com/watch?v=TpWQlKHPyJ4,square root a squared minus x squared.,Square root a squared minus x squared.
the square root of a squared over a squared minus x squared dx,$\sqrt{\frac{a^{2}}{a^{2}-x^{2}}}dx$,https://www.youtube.com/watch?v=TpWQlKHPyJ4,The square root of a squared over a squared minus x squared dx.,The square root of a squared over a squared minus x squared dx.
"x, y is equal to a cosine pi over 2, a sine pi over 2","$\displaystyle (x,y)=(a\cos\frac{\pi}{2},a\sin\frac{\pi}{2}).$",https://www.youtube.com/watch?v=TpWQlKHPyJ4,"So at that point, we have x, y is equal to a cosine pi over 2, a sine pi over 2.","So, at that point we have x, y is equal to A cos pi over 2 A sine pi over 2."
 sine of pi over 2 is 1,$\sin\frac{\pi}{2}=1$,https://www.youtube.com/watch?v=TpWQlKHPyJ4,Sign of pi over 2 is 1.,The sine of pi over 2 is 1.
 t equals pi over 2,${t}=\frac{\pi}{2}$,https://www.youtube.com/watch?v=TpWQlKHPyJ4,That t equals pi over 2.,At t equals pi over 2.
t equals pi,$\mathcal{t}=\pi$,https://www.youtube.com/watch?v=TpWQlKHPyJ4,T equals pi.,t equals pi.
ds squared is dx squared plus dy squared,$ds^{2}=dx^{2}+dy^{2}$,https://www.youtube.com/watch?v=XRkgBWbWvg4,ds squared is dx squared plus dy squared.,ds squared is dx squared plus dy squared.
the square root of minus a sine t squared plus a cosine t squared dt,"$\displaystyle \sqrt{-a\sin^{2}(t)+a\cos^{2}(t)}\,dt$",https://www.youtube.com/watch?v=XRkgBWbWvg4,is the square root of minus a sine t squared plus a cosine t squared dt.,There's the square root of minus a sine t squared plus a cosine t squared dt.
the square root of a squared ,$(\sqrt{a^{2}})$,https://www.youtube.com/watch?v=XRkgBWbWvg4,the square root of A squared.,The square root of a squared.
delta x delta t squared plus delta y delta t the quantity squared,$\displaystyle (\frac{\Delta x}{\Delta t})^{2}+(\frac{\Delta y}{\Delta t})^{2}$,https://www.youtube.com/watch?v=XRkgBWbWvg4,delta x delta t squared plus delta y delta t the quantity squared.,"Delta x delta t squared plus delta y delta t, the quantity squared."
d over dt squared,$(\frac{d}{dt})^{2}$,https://www.youtube.com/watch?v=XRkgBWbWvg4,d over dt squared.,d over dt squared.
x is 2 sine t,$x=2\sin t$,https://www.youtube.com/watch?v=XRkgBWbWvg4,X is 2 sine T.,x is 2 sine t.
 1 quarter of x squared plus y squared,$1/4(x^{2}+y^{2})$,https://www.youtube.com/watch?v=XRkgBWbWvg4,1 quarter of x squared plus y squared.,1 quarter of x squared plus y squared.
2 sine pi over 2,$2\sin\frac{\pi}{2}$,https://www.youtube.com/watch?v=XRkgBWbWvg4,2 sine pi over 2.,2 sine pi over 2.
2 cosine t squared plus sine t,$2(\cos t)^{2}+\sin t$,https://www.youtube.com/watch?v=XRkgBWbWvg4,2 cosine t squared plus sine t.,2 cosine t squared plus sine t.
the square root of 4 cosine squared t plus sine squared t,$\sqrt{4\cos^{2}t+\sin^{2}t}$,https://www.youtube.com/watch?v=XRkgBWbWvg4,The square root of 4 cosine squared t plus sine squared t.,The square root of 4 cos t plus sin t.
 y squared equals 1,$\displaystyle y^{2}=1$,https://www.youtube.com/watch?v=XRkgBWbWvg4,Y squared equals 1.,y squared equals 1.
ds squared equals dx squared plus dy squared,$dx^{2}=dx^{2}+dy^{2}$,https://www.youtube.com/watch?v=XRkgBWbWvg4,The square equals the x-word plus the y-square.,ds squared equals dx squared plus dy squared
2pi times 2sine t,$2\pi\cdot 2\sin t$,https://www.youtube.com/watch?v=XRkgBWbWvg4,2 pi times 2 sine t.,2 pi times 2 sine t.
theta equals negative pi over 4,$\theta=-\frac{\pi}{4}$,https://www.youtube.com/watch?v=XRkgBWbWvg4,This theta equals negative pi over 4.,Theta equals negative pi over 4.
theta equals seven pi over four,$\theta=7\pi/4$,https://www.youtube.com/watch?v=XRkgBWbWvg4,theta equals 7 pi over 4.,Theta equals 7pi over 4.
 r equals square root of 2,$r=\sqrt{2}$,https://www.youtube.com/watch?v=XRkgBWbWvg4,r equals square root of two.,r equals square root of 2.
r equals one over sine theta,$r=1/\sin\theta$,https://www.youtube.com/watch?v=XRkgBWbWvg4,R equals one over sine theta.,r equals 1 over sine theta.
 x minus a squared plus y squared is equal to a squared,$x-a^{2}+y^{2}~{}=~{}a^{2}$,https://www.youtube.com/watch?v=XRkgBWbWvg4,x minus a squared plus y squared is equal to a squared.,x minus a squared plus y squared is equal to a squared.
r squared minus two a r cosine theta equals zero,"$r^{2}-2a\,r\cos\theta=0$",https://www.youtube.com/watch?v=XRkgBWbWvg4,r squared minus 2a r cosine theta equals 0.,r squared minus 2a r cosine theta equals 0.
minus pi over two is less than theta is less than pi over two,$-\frac{\pi}{2}<\theta<\frac{\pi}{2}$,https://www.youtube.com/watch?v=XRkgBWbWvg4,Minus pi over 2 is less than theta. It is less than pi over 2.,Minus pi over 2 is less than theta is less than pi over 2.
pi a squared,$(\pi a^{2})$,https://www.youtube.com/watch?v=BGE3wb7H2PA,High A squared.,Pi a squared.
 delta theta divided by 2pi,$\Delta\theta/2\pi$,https://www.youtube.com/watch?v=BGE3wb7H2PA,Delta theta divided by chimpy.,Delta theta divided by 2 pi.
r is equal to 2a cosine theta,"$r\mathrel{\mathop{}}=2a\,\cos\theta$",https://www.youtube.com/watch?v=BGE3wb7H2PA,R is equal to 2a cosine theta.,r is equal to 2a cosine theta.
cosine of plus or minus pi over 2 is equal to 0,$\cos(\pm\frac{\pi}{2})=0$,https://www.youtube.com/watch?v=BGE3wb7H2PA,cosine of plus or minus pi over 2 is equal to 0.,Cosine of plus or minus pi over 2 is equal to 0.
4a squared divided by 2,$4a^{2}/2$,https://www.youtube.com/watch?v=BGE3wb7H2PA,4A2 divided by 2,4a squared divided by 2.
 integral from minus pi over two pi over two cosine squared theta d theta,$\displaystyle \int_{-\frac{\pi}{2}}^{\frac{\pi}{2}}\cos^{2}\theta d\theta$,https://www.youtube.com/watch?v=BGE3wb7H2PA,"integral from minus pi over 2, pi over 2 cosine squared theta theta","Integral from minus pi over 2, pi over 2, cosine squared theta d theta."
 cosine 2 theta divided by 2,$\cos2\theta \over 2$,https://www.youtube.com/watch?v=BGE3wb7H2PA,cosine 2 theta divided by 2.,Cosine 2 theta divided by 2.
a squared times pi over 2 minus minus pi over 2,$a^{2}(\pi/2)-(-\pi/2)$,https://www.youtube.com/watch?v=BGE3wb7H2PA,is a squared times pi over 2 minus minus pi over 2.,Is a squared times pi over 2 minus minus pi over 2.
sine pi,$\sin\pi$,https://www.youtube.com/watch?v=BGE3wb7H2PA,sign pi sat,
 2 cosine theta is equal to negative 1,$2\cos\theta~{}=~{}-1$,https://www.youtube.com/watch?v=BGE3wb7H2PA,2 cosine theta is equal to negative 1.,2 cos theta is equal to negative 1.
r plus 2r cosine theta equals 1,$r+2r\cos\theta=1$,https://www.youtube.com/watch?v=BGE3wb7H2PA,r plus 2 r cosine theta equals 1.,r plus 2r cosine theta equals 1.
one minus two r cosine theta,$1-2r\cos\theta$,https://www.youtube.com/watch?v=BGE3wb7H2PA,1 minus 2 r cosine theta.,1 minus 2r cosine theta.
r squared equals 1 minus 2x squared,$r^{2}=1-2x^{2}$,https://www.youtube.com/watch?v=BGE3wb7H2PA,R squared equals 1 minus 2 at squared.,R squared equals 1 minus 2x squared.
minus 3x squared plus y squared,$-3x^{2}+y^{2}$,https://www.youtube.com/watch?v=BGE3wb7H2PA,minus 3x squared plus y squared.,Minus 3x squared plus y squared.
1 over a plus b cosine theta,$\frac{1}{a+b\cos\theta}$,https://www.youtube.com/watch?v=BGE3wb7H2PA,1 over A plus B cosine theta.,1 over a plus b cosine theta.
dA dt is equal to a half r squared d theta dt,$\frac{dA}{dt}=\frac{1}{2}r^{2}\frac{d\theta}{dt}$,https://www.youtube.com/watch?v=BGE3wb7H2PA,dA dt is equal to a half r squared d theta dt.,dA dt is equal to 1 by 2 r squared d theta dt.
e x plus 2 cubed,$e(x+2)^{3}$,https://www.youtube.com/watch?v=BGE3wb7H2PA,e x plus 2 cubed.,E x plus 2 cubed.
Ax plus b divided by x squared plus 2,$(Ax+b)/(x^{2}+2)$,https://www.youtube.com/watch?v=BGE3wb7H2PA,AX plus B divided by X squared plus two.,Ax plus b divided by x squared plus 2.
A2x plus B2 x squared plus 2 squared plus c over x plus d,$\frac{A2x + B2}{(x^{2}+2)^{2}}+\frac{C}{x}+D$,https://www.youtube.com/watch?v=BGE3wb7H2PA,"plus B2, x squared plus C over x plus D.",a 2 x plus b 2 x squared plus 2 squared plus c over x plus d.
u prime is equal to 1 over 1 plus x squared,$u^{\prime}=\frac{1}{1+x^{2}}$,https://www.youtube.com/watch?v=BGE3wb7H2PA,u prime is equal to 1 over 1 plus x squared.,u' is equal to 1 over 1 plus x squared.
v is equal to x squared over two,$v=\frac{x^{2}}{2}$,https://www.youtube.com/watch?v=BGE3wb7H2PA,V is equal to x squared over 2.,V is equal to x squared over 2.
x squared over 2 tan inverse x,$\frac{x^{2}}{2}\tan^{-1}x$,https://www.youtube.com/watch?v=BGE3wb7H2PA,x squared over 2 tan inverse x.,x squared over 2 tan inverse x.
a half x minus a half tan inverse x,$\frac{1}{2}x-\frac{1}{2}\tan^{-1}x$,https://www.youtube.com/watch?v=BGE3wb7H2PA,The half x minus half tan inverse x.,1 by 2. 1 by 2 x minus 1 by 2 tan inverse x.
x log x,$x\log{x}$,https://www.youtube.com/watch?v=PNTnmH6jsRI,X log X.,x log x
 x to the 10th minus 1,$x^{10}-1$,https://www.youtube.com/watch?v=PNTnmH6jsRI,x to the 10th minus 1.,x to the 10th minus 1.
x squared minus 1,$\displaystyle x^{2}-1$,https://www.youtube.com/watch?v=PNTnmH6jsRI,x squared minus 1.,x squared minus 1.
f of x divided by g of x,$\frac{f(x)}{g(x)}$,https://www.youtube.com/watch?v=PNTnmH6jsRI,F of x divided by g of x.,F of x divided by g of x.
 f of x divided by x minus a,$\frac{f(x)}{x-a}$,https://www.youtube.com/watch?v=PNTnmH6jsRI,F of x divided by x minus a.,F of x divided by x minus a.
sine five x divided by sine two x,$\sin 5x/\sin 2x$,https://www.youtube.com/watch?v=PNTnmH6jsRI,sine 5x divided by sine 2x.,Sine 5x divided by sine 2x.
five cosine five x divided by two cosine two x,$5\cos(5x)/2\cos(2x)$,https://www.youtube.com/watch?v=PNTnmH6jsRI,5 cosine 5x divided by 2 cosine 2x.,5 cos 5x divided by 2 cos 2x.
cosine x minus 1 divided by x squared,$(\cos x-1)/x^{2}$,https://www.youtube.com/watch?v=PNTnmH6jsRI,cosine x minus 1 divided by x squared.,Cosine x minus 1 divided by x squared.
sine of five x divided by sine of 2x,$\sin(5x)/\sin(2x)$,https://www.youtube.com/watch?v=PNTnmH6jsRI,sine of 5x divided by sine of 2x.,Sine of 5x divided by sine of 2x.
1 minus x squared over 2,$1-x^{2}/2$,https://www.youtube.com/watch?v=PNTnmH6jsRI,1 minus x squared over 2.,That's 1 minus x squared over 2.
a 3rd x to the minus 2 3rds,$\frac{1}{3}x^{-2/3}$,https://www.youtube.com/watch?v=PNTnmH6jsRI,We have a third x to the minus two thirds.,We have 1 third x to the minus 2 thirds.
x to the x is equal to e to the x log x,$x^{x}=e^{x\log x}$,https://www.youtube.com/watch?v=PNTnmH6jsRI,X to the X is equal to E to the X log X.,x to the x is equal to e to the x log x.
 sine x over x squared,$\sin(x)/x^{2}$,https://www.youtube.com/watch?v=PNTnmH6jsRI,sine x over x squared.,sin x over x squared.
1 plus 2 over x plus 1 over x to the 5th power,$1+2/x+1/x^{5}$,https://www.youtube.com/watch?v=PNTnmH6jsRI,1 plus 2 over x plus 1 over x to the 5th power.,1 plus 2 over x plus 1 over x to the fifth power.
1 over 1 over x,$\frac{1}{1/x}$,https://www.youtube.com/watch?v=PNTnmH6jsRI,"One over, one over x.",1 over 1 over x.
 x to the 5th over x to the 4th,$\frac{x^{5}}{x^{4}}$,https://www.youtube.com/watch?v=PNTnmH6jsRI,"X to the 5th, over X to the 4th.",x to the fifth over x to the fourth.
one over x to the power p,$\frac{1}{x^{p}}$,https://www.youtube.com/watch?v=KhwQKE_tld0,1 over x to the power p.,1 over x to the power p.
dx over x to the pth power,$\frac{dx}{x^{p}}$,https://www.youtube.com/watch?v=KhwQKE_tld0,DX over X to the PATH power.,dx over x to the p-th power.
 1 over minus p plus 1,$\frac{1}{p-1}$,https://www.youtube.com/watch?v=KhwQKE_tld0,1 over p minus 1.,1 over p minus 1.
integral from 0 to infinity dx over the square root of x squared plus 10,$\displaystyle \int_{0}^{\infty}\frac{dx}{\sqrt{x^{2}+10}}$,https://www.youtube.com/watch?v=KhwQKE_tld0,the integral from 0 to infinity dx over the square root of x squared plus 10.,The integral from 0 to infinity dx over the square root of x squared plus 10.
integral from 0 to 1 dx over square root of x squared plus 10,$\int_{0}^{1}\frac{dx}{\sqrt{x^{2}+10}}$,https://www.youtube.com/watch?v=KhwQKE_tld0,integral from 0 to 1 dx over square root of x squared plus 10.,Integral from 0 to 1 dx over square root of x squared plus 10.
 1 over the square root of x cubed plus 3 ,$1/\sqrt{x^{3}+3}$,https://www.youtube.com/watch?v=KhwQKE_tld0,1 over the square root of x cubed plus 3.,1 over the square root of x cubed plus 3.
1 over the square root of x cubed,$\frac{1}{\sqrt{x^{3}}}$,https://www.youtube.com/watch?v=KhwQKE_tld0,to 1 over the square root of x cubed.,to 1 over the square root of x cubed.
one over x to the three halves,$\frac{1}{x^{3/2}}$,https://www.youtube.com/watch?v=KhwQKE_tld0,1 over x to the 3 halves.,1 over x to the 3 halves.
 x to the one half times two,$x^{\frac{1}{2}}(2)$,https://www.youtube.com/watch?v=MK_0QHbUnIA,x of 1 half times 2.,x to the 1 half times 2.
1 over x squared,$\frac{1}{x^{2}}$,https://www.youtube.com/watch?v=MK_0QHbUnIA,1 over x squared.,1 over x squared.
y equals 1 over x,$y=\frac{1}{x}$,https://www.youtube.com/watch?v=MK_0QHbUnIA,Y equals 1 over X.,y equals 1 over x.
 y equals one over x to the one-half,$\operatorname{y}=\frac{1}{x^{1/2}}$,https://www.youtube.com/watch?v=MK_0QHbUnIA,"So, I think it was 1 over x to the 1 half.",y equals 1 over x to the 1 half.
 y equals 1 over x minus 3 squared,$y=\frac{1}{(x-3)^{2}}$,https://www.youtube.com/watch?v=MK_0QHbUnIA,y equals 1 over x minus 3 squared.,y equals 1 over x minus 3 squared.
