transcription,LaTeX,Source,whisper_base_predSE,whisper_medium_predSE,MathSpeech_LaTeX_result_medium
a squared theta over 2,$a^{2}\theta/2$,https://www.youtube.com/watch?v=Bv9kVDcj7yo,A squared theta over 2.,a squared theta over 2.,$a^{2}\theta/2$
1 plus sine squared over cosine squared,$1 + \sin^{2}\over \cos^2$,https://www.youtube.com/watch?v=CXKoCMVqM9s,1 plus sine squared over cosine squared.,1 plus sine squared over cosine squared,$1+\sin^{2}/\cos^{2}$
the tangent of x is sine x divided by cosine x,$\tan(x)=\sin(x)/\cos(x)$,https://www.youtube.com/watch?v=CXKoCMVqM9s,The tangent of x is sine x divided by cosine x.,The tangent of x is sine x divided by cosine x.,$\tan(x)\sin(x)/\cos(x)$
cosine squared plus sine squared is one,$\cos^{2}+\sin^{2}=1$,https://www.youtube.com/watch?v=CXKoCMVqM9s,Cosine squared plus sine squared is one.,Cosine squared plus sine squared is one.,$\cos^{2}+\sin^{2}s1$
one over cosine squared of x which is secant squared, $1/\cos^{2}(x) = \sec^{2}(x)$,https://www.youtube.com/watch?v=CXKoCMVqM9s,"1 over cosine squared of x, which is c-can squared.","1 over cosine squared of x, which is secant squared.",$1/\cos^{2}(x)\sec^{2}$
one over the cosine times the tangent of x,${1\over\cos(x)}\tan(x)$,https://www.youtube.com/watch?v=CXKoCMVqM9s,one over the cosine times the tangent of x.,1 over the cosine times the tangent of x.,$1/\cos(\tan(x))$
u equals the cosine of x,$u=\cos {x}$,https://www.youtube.com/watch?v=CXKoCMVqM9s,u equals the cosine of x.,u equals the cosine of x.,$u=\check{x}$
du is minus the sine of x dx,$\mathrm{d}u = -\mathrm{\sin(x)}\mathrm{d}x$,https://www.youtube.com/watch?v=CXKoCMVqM9s,du is minus the sine of x dx.,du is minus the sine of x dx.,$\mathrm{d}U-\operatorname{sgn}(x)\mathrm{d}x$
sine x dx is minus du divided by u,$\sin xdx=-\frac{du}{u}$,https://www.youtube.com/watch?v=CXKoCMVqM9s,sin x dx is minus du divided by u.,Sine x dx is minus du divided by u.,$\sinxdx-du/u$
the secant of x plus the tangent of x ,$\operatorname{\sec}(x)+\tan(x)$,https://www.youtube.com/watch?v=CXKoCMVqM9s,The c-cant of x plus the tangent of x.,The secant of x plus the tangent of x.,$\text{sech}(x)+\text{tanh}(x)$
secant squared is one plus tangent squared,$\displaystyle \sec^2 = 1 + \tan^{2}$,https://www.youtube.com/watch?v=CXKoCMVqM9s,C can't squared is 1 plus tangent squared.,secant squared is one plus tangent squared.,$\sec^{2}\sim1+\tan^{2}$
the secant squared the x plus x times dx that is du,$\displaystyle\ (\sec^2(x) +\ x )\ dx = \ du\ \$,https://www.youtube.com/watch?v=CXKoCMVqM9s,"This secant squared x plus x times dx, that is du.","The secant square root of x plus x times dx, that is du.",$\displaystyle\;\;\;\;\;\;\;\;\;\;\;\;\;\;\;\;\;\;\;\;\;\;\;\;\;\;\;\;\;\;\;\;\;\;\;\;\;%\;\;\;\;\;\;\;\;\;\;\;\;\;\;\;\;\;\;\;\;\;\;\;\;\;$
u plus u cubed over 3 plus a constant,$\displaystyle u+\frac{u^{3}}{3} + \text{const.}$,https://www.youtube.com/watch?v=CXKoCMVqM9s,u plus u cubed over 3 plus a constant.,u plus u cubed over 3 plus a constant.,$\displaystyleU+\frac{U^{3}}{3}+\text{const.}$
the integral of dx over x squared times the square root of 1 plus x squared,$\int\frac{dx}{x^{2}\sqrt{1+x^{2}}}$,https://www.youtube.com/watch?v=CXKoCMVqM9s,integral of dx over x squared times the square root of 1 plus x squared.,The integral of dx over x squared times the square root of 1 plus x squared.,$\int\frac{dx}{x^{2}\sqrt{1+x^{2}}}$
minus one over u plus a constant,$-\frac{1}{u}+\text{const.}$,https://www.youtube.com/watch?v=CXKoCMVqM9s,minus 1 over u plus a constant.,minus 1 over u plus a constant.,$-\frac{1}{u}+\text{const.}$
1 over the square root of x squared minus 1,$1\over \sqrt{x^{2} - 1}$,https://www.youtube.com/watch?v=CXKoCMVqM9s,1 over the square root of x squared minus 1.,1 over the square root of x squared minus 1.,$1/\sqrt{x^{2}-1}$
square root of a squared minus x squared,$\sqrt{a^{2}-x^{2}}$,https://www.youtube.com/watch?v=CXKoCMVqM9s,square root of a squared minus x squared.,square root of a squared minus x squared.,$\sqrt{a^{2}-x^{2}}$
 x is a times the sine of theta,$x=a\sin(\theta)$,https://www.youtube.com/watch?v=CXKoCMVqM9s,x is a times the sine of theta.,x is a times the sine of theta.,$x\sim\sin(\theta)$
dx over x squared plus 4x,$\frac{dx}{x^{2}+4x}$,https://www.youtube.com/watch?v=CXKoCMVqM9s,dx over x squared plus 4x.,dx over x squared plus 4x.,$\frac{dx}{x^{2}+4x}$
x squared plus 4x is u squared minus 4,$x^{2}+4x=u^{2}-4$,https://www.youtube.com/watch?v=CXKoCMVqM9s,x squared plus 4x is u squared minus 4.,x squared plus 4x is u squared minus 4.,$x^{2}+4xyzu^{2}-4$
4 times the tangent squared of theta,$4\tan^{2}(\theta)$,https://www.youtube.com/watch?v=CXKoCMVqM9s,4 times the tangent squared of theta.,4 times the tangent squared of theta.,$4\tan^{2}(\theta)$
square root of u squared minus 4,$\sqrt{u^{2}-4}$,https://www.youtube.com/watch?v=CXKoCMVqM9s,square root of u squared minus 4.,The square root of u squared minus 4.,$\sqrt{u^{2}-4}$
du is 2 secant theta tangent theta d theta.,$du=2\sec \theta \tan \theta d\theta $,https://www.youtube.com/watch?v=CXKoCMVqM9s,du is 2 secant theta tangent theta d theta.,du is 2 secant theta tangent theta d theta.,$dU\sim\sec\theta\tan\thetad\theta$
natural logarithm of x plus 2 over 2 ,$\ln({\frac{x+2}{2}})$,https://www.youtube.com/watch?v=CXKoCMVqM9s,the natural logarithm of x plus 2 over 2.,The natural logarithm of x plus 2 over 2.,$\ln(x)+\frac{2}{2}$
e of x divided by q of x,$\frac{e^x}{q(x)}$,https://www.youtube.com/watch?v=HgEqXhsIq_g,P of X divided by Q of X.,E of x divided by q of x.,$E(x)/Q(x)$
natural log of x minus 1 plus 3 times natural log of x plus 3,$\ln(x-1)+3\ln(x+3)$,https://www.youtube.com/watch?v=HgEqXhsIq_g,natural log of x minus 1 plus 3 times natural log of x plus 3.,Natural log of x minus 1 plus 3 times natural log of x plus 3.,$\ln(x-1)+3\ln(x)+3$
3 times x minus 1,$3\times(x-1)$,https://www.youtube.com/watch?v=HgEqXhsIq_g,3 times x minus 1.,3 times x minus 1.,$3\timesX-1$
four x plus two minus three,$(4x+2-3)$,https://www.youtube.com/watch?v=HgEqXhsIq_g,4x plus 2 minus 3.,4x plus 2 minus 3.,"$(4x+2,-3)$"
b times x plus two times x minus one,$b(x+2)(x-1)$,https://www.youtube.com/watch?v=HgEqXhsIq_g,B times x plus 2 times x minus 1.,B times x plus 2 times x minus 1.,$bx+2x-1$
1 over x minus 1 plus 3 over x plus 2,$\frac{1}{x-1}+\frac{3}{x+2}$,https://www.youtube.com/watch?v=HgEqXhsIq_g,1 over x minus 1 plus 3 over x plus 2.,1 over x minus 1 plus 3 over x plus 2.,$\frac{1}{x-1}+\frac{3}{x+2}$
a times x minus 1 times x plus 2,$a(x-1)(x+2)$,https://www.youtube.com/watch?v=HgEqXhsIq_g,A times x minus 1 times x plus 2.,a times x-1 times x-2.,$a(x-1)(x-2)$
minus eight minus one divided by minus two minus one is equal to b,$\frac{-8-1}{-2-1}=b$,https://www.youtube.com/watch?v=HgEqXhsIq_g,minus 8 minus 1 divided by minus 2 minus 1 is equal to b.,Minus 8 minus 1 divided by minus 2 minus 1 is equal to b.,$-\frac{8-1}{1-2}=b$
four x minus one,$(4x\ -\ 1)$,https://www.youtube.com/watch?v=HgEqXhsIq_g,4x minus 1,4x minus 1,$(4x\!-\!1)$
four minus one divided by one plus two is equal to a,$\frac{4-1}{1+2}=a$,https://www.youtube.com/watch?v=HgEqXhsIq_g,4 minus 1 divided by 1 plus 2 is equal to a.,4 minus 1 divided by 1 plus 2 is equal to a.,$4-\frac{1}{1+2}=a$
x minus one times x minus two times x plus five,$(x-1)(x-2)(x+5)$,https://www.youtube.com/watch?v=HgEqXhsIq_g,x minus 1 times x minus 2 times x plus 5.,x-1 times x-2 times x 5.,$X(-1)X(-2)X(5)$
x plus five,$\displaystyle x+5$,https://www.youtube.com/watch?v=HgEqXhsIq_g,x plus 5.,x plus 5.,$\displaystylex+5$
b over x minus 1 squared,$\frac{b}{(x-1)^{2}}$,https://www.youtube.com/watch?v=HgEqXhsIq_g,B over x minus 1 squared.,B over x minus 1 squared.,$\frac{B}{(x-1)^{2}}$
"negative a, plus 1, plus 1 3rd.",$-a+1+\frac{1}{3}$,https://www.youtube.com/watch?v=HgEqXhsIq_g,Negative a plus 1 plus a third.,Negative a plus 1 plus 1 third.,$-a+1+\frac{1}{3}$
"1 squared divided by 1 squared plus 1,",$1^{2}/(1^{2}+1)$,https://www.youtube.com/watch?v=HgEqXhsIq_g,1 squared divided by 1 squared plus 1.,1 squared divided by 1 squared plus 1.,$1^{2}/(1^{2}+1)$
 a times x squared plus 1,$ax^{2}+1$,https://www.youtube.com/watch?v=HgEqXhsIq_g,A times x squared plus 1.,a times x squared plus 1.,$ax^{2}+1$
x cubed plus one,$\mathcal{x}^3+{1}$,https://www.youtube.com/watch?v=HgEqXhsIq_g,XQ plus one.,An x cubed plus 1.,$nx^{3}+1$
x plus 1 times x squared plus x plus 1,$(x+1)(x^{2}+x+1)$,https://www.youtube.com/watch?v=HgEqXhsIq_g,x plus 1 times x squared plus x plus 1.,x squared plus x plus 1.,$x^{2}+x+1$
half the argtangent,$\displaystyle \frac{1}{2}\arctan $,https://www.youtube.com/watch?v=HgEqXhsIq_g,half the arc tangent.,Half the arctangent.,$\displaystyle\qquad\qquad\qquad\qquad\qquad\qquad\qquad\qquad\qquad\qquad\qquad%\qquad\qquad\qquad\qquad\qquad\qquad\qquad\qquad\qquad\qquad\qquad\qquad\qquad%\qquad\qquad\qquad\qquad\qquad\qquad\qquad\qquad\qquad\qquad\qquad\qquad\qquad\qquad\qquad\qquad%\qquad\qquad\qquad\qquad\qquad\qquad\qquad\qquad\qquad\qquad\qquad\qquad\qquad\
d by dx of natrual log of x squared plus 1 is 2x over x squared plus 1,$\frac{d}{dx}(\ln(x^{2}+1))=\frac{2x}{x^{2}+1}$,https://www.youtube.com/watch?v=HgEqXhsIq_g,d by dx of natural log of x squared plus 1 is 2x over x squared plus 1.,d by dx of natural log of x squared plus 1 is 2x over x squared plus 1.,$\frac{d}{dx}(\ln(x^{2}+1))\to\frac{x}{x^{2}+1}$
x cubed plus x squared minus 2x,$x^{3}+x^{2}-2x$,https://www.youtube.com/watch?v=HgEqXhsIq_g,xq plus x squared minus 2x.,At x cubed plus x squared minus 2x.,$ax^{3}+x^{2}-2x$
b3 x plus c3 x squared plus 4 cubed,$b_3 x+c_3 x^{2}+4^{3}$,https://www.youtube.com/watch?v=aeXp1zC6Hls,B3 x plus c3 x squared plus 4 cubed.,B 3 x plus c 3 x squared plus 4 cubed.,$b3x+c3x^{2}+4^{3}$
r of x is equal to a11 x to the 11th plus a10 x to the 10th,$r(x)=a_{11}x^{11}+a_{10}x^{10}$,https://www.youtube.com/watch?v=aeXp1zC6Hls,r of x is equal to a 11 x to the 11th plus a 10 x to the 10th.,r of x is equal to a11 x to the 11th plus a10 x to the 10th.,$R(x):=a11x^{11}+a10x^{10}$
x is equal to two tan u,$x=2\tan u$ ,https://www.youtube.com/watch?v=aeXp1zC6Hls,X is equal to 2 tan u.,x is equal to 210u.,$X\mathrel{\mathop{:}}=210U$
dx is 2 secant squared u du,$dx= 2\sec^{2}udu$,https://www.youtube.com/watch?v=aeXp1zC6Hls,DX is 2 secant squared u du.,dx is 2 secant squared u du.,$dx\sim\sec^{2}udu$
cosine squared of two u,$\cos^{2}(2u)$,https://www.youtube.com/watch?v=aeXp1zC6Hls,The cosine squared of 2u and,At a cosine squared of 2u.,$\eta\cos^{2}(2u)$
u is a log x,$u=\log x$,https://www.youtube.com/watch?v=aeXp1zC6Hls,U is Log X.,U is log x.,$u\logx$
u prime is one over x,$u^{\prime}= 1/x$,https://www.youtube.com/watch?v=aeXp1zC6Hls,U prime is 1 over x.,u' is 1 over x.,$u^{\prime}\sqsubseteqx$
x log x minus x plus c,$x\log x-x+C$,https://www.youtube.com/watch?v=aeXp1zC6Hls,x log x minus x plus c.,x log x minus x plus z.,$x\logx-x+z$
log x squared,$(\log x)^{2}$,https://www.youtube.com/watch?v=aeXp1zC6Hls,"Blog X, squared.",log x squared.,$(\logx)^{2}$
u prime is 2 log x times 1 over x,$u^{\prime}=2\log x\times 1/x$,https://www.youtube.com/watch?v=aeXp1zC6Hls,u prime is 2 log x times 1 over x.,u' is 2 log x times 1 over x.,$U^{\prime}\sim\logX\times1/X$
u prime is n times log x to the n minus 1 times 1 over x,$u^{\prime}=n(\log x)^{n-1}\cdot\frac{1}{x}$,https://www.youtube.com/watch?v=aeXp1zC6Hls,u prime is n times log x to the n minus 1 times 1 over x.,u' is n times ln x to the n-1 times 1 over x.,$U^{\prime}\isaid{n}\lnx^{n-1}\cdot\frac{1}{x}$
log x to the zero power dx,$\log x^{0}dx$,https://www.youtube.com/watch?v=aeXp1zC6Hls,Log x to the zero power dx.,log x to the 0 power dx.,$\logX^{0}dx$
x log x squared minus twice f one of x,$x(\log x)^{2}-2f_{1}(x)$,https://www.youtube.com/watch?v=aeXp1zC6Hls,x log x squared minus twice f1 of x.,x log x squared minus twice f1 of x.,$x\logx^{2}-2yf_{1}(x)$
x to the n e to the x dx,$x^{n}e^{x}dx$,https://www.youtube.com/watch?v=aeXp1zC6Hls,x to the n e to the x dx.,"x to the n, e to the x dx.",$x^{n}e^{x}dx$
n times g n minus 1 of x,$n\cdot g_{n-1}(x)$,https://www.youtube.com/watch?v=aeXp1zC6Hls,n times g n minus 1 of x.,n times g n minus 1 of x.,$n\cdotG^{n-1}(X)$
x e to the x minus e to the x,$\displaystyle \operatorname{xe^{x} - e^{x}}$,https://www.youtube.com/watch?v=aeXp1zC6Hls,x e to the x minus e to the x.,x e to the x minus e to the x.,"$(x,e^{x}-e^{x})$"
y log y squared minus 2y log y minus y,$\displaystyle y (\log y)^{2}-2y\log y-y$,https://www.youtube.com/watch?v=aeXp1zC6Hls,It's y log y squared minus 2y log y minus y.,It's y log y squared minus 2y log y minus y.,$\displaystyleixy\logy^{2}-2y\logy-y$
2 pi e x dx,$2\pi exdx$,https://www.youtube.com/watch?v=aeXp1zC6Hls,2 pi e x dx.,2 pi ex dx.,$2\piexdx$
e times two pi times x,$e^{(2\pi x)}$,https://www.youtube.com/watch?v=aeXp1zC6Hls,"E times 2 pi times x, that's this.","E times 2 pi times x, that's this.","$e(2\pix,s,s)$"
the integral of 2 pi x e minus e to the x dx,$\int2\pi x (e - e^x)dx$,https://www.youtube.com/watch?v=aeXp1zC6Hls,the integral of 2 pi x e minus e to the x dx.,The integral of 2pi x e- e to the x dx.,$\int2\pixE-E^{x}dx$
2 pi e integral of x dx from 0 to 1 minus 2 pi integral from 0 to 1 of x e to the x dx,$\displaystyle 2\pi e\int _{0}^{1} xdx - 2\pi \int _{0}^{1}xe^{x}dx$,https://www.youtube.com/watch?v=aeXp1zC6Hls,2 pi e integral of x dx from 0 to 1 minus 2 pi integral from x e to the x dx dx.,2 pi e integral of x dx from 0 to 1 minus 2 pi integral from 0 to 1 of x e to the x dx.,$\displaystyle2\pie\intxdx\int_{0}^{1}-2\pi\int_{0}^{1}xe^{x}dx$
delta x squared plus delta y squared,$\Delta x^{2}+\Delta y^{2}$,https://www.youtube.com/watch?v=TpWQlKHPyJ4,delta x squared plus delta y squared.,Delta x squared plus delta y squared.,$\Deltax^{2}+\Deltay^{2}$
1 plus dy dx the quantity squared,$1+(\frac{dy}{dx})^{2}$,https://www.youtube.com/watch?v=TpWQlKHPyJ4,"1 plus dy dx, the quantity squared.","1 plus dy dx, the quantity squared.",$1+dydx\cdot\cdot\cdot\cdot^{2}$
the integral from a to b of the square root of 1 plus dy dx squared dx,$\int_{a}^{b}\sqrt{1 +(\frac{dy}{dx})^{2}}dx$,https://www.youtube.com/watch?v=TpWQlKHPyJ4,The integral from a to b of the square root of 1 plus dy dx squared dx.,The integral from a to b of the square root of 1 plus dy dx squared dx.,$\int_{a}^{b}(\sqrt{1+dydx})^{2}dx$
square root of 1 plus f prime of x squared dx,$\displaystyle \sqrt{1+f^{\prime}(x)^{2}}dx$,https://www.youtube.com/watch?v=TpWQlKHPyJ4,square root of one plus f prime of x squared dx.,square root of 1 plus f' x squared dx.,$\displaystyle\sqrt{1+(f^{\prime}x)^{2}}dx$
square root of 1 plus m squared,$\sqrt{1+m^{2}}$,https://www.youtube.com/watch?v=TpWQlKHPyJ4,square root of 1 plus m squared.,square root of 1 plus m squared.,$\sqrt{1+m^{2}}$
 the integral from 0 to 10 of the square root of 1 plus m squared dx,$\int_{0}^{10}\sqrt{1+m^{2}}dx$,https://www.youtube.com/watch?v=TpWQlKHPyJ4,the integral from 0 to 10 of the square root of 1 plus m squared dx.,The integral from 0 to 10 of the square root of 1 plus m squared dx.,$\int_{0}^{10}\sqrt{1+m^{2}}dx$
y equals square root of 1 minus x squared,$y=\sqrt{1-x^{2}}$,https://www.youtube.com/watch?v=TpWQlKHPyJ4,So y equals square root of 1 minus x squared.,So y equals square root of 1 minus x squared.,$\mathbfsl{y}=\sqrt{1-x^{2}}$
square root of 1 plus y prime squared dx,$\sqrt{1+(y^{\prime})^2}dx$,https://www.youtube.com/watch?v=TpWQlKHPyJ4,square root of 1 plus y prime squared dx.,square root of 1 plus y' squared dx.,$\sqrt{1+y^{\prime2}}dx$
"1 plus the quantity minus x over square root of 1 minus x squared, squared",$1+(-\frac{x}{\sqrt{1-x^{2}}})^{2}$,https://www.youtube.com/watch?v=TpWQlKHPyJ4,1 plus the quantity minus x over square root of 1 minus x squared squared.,"1 plus the quantity minus x over square root of 1 minus x squared, squared.",$1+\left(1-\frac{x}{\sqrt{1-x^{2}}}\right)^{2}$
 x squared over 1 minus x squared,$\frac{x^{2}}{1-x^{2}}$,https://www.youtube.com/watch?v=TpWQlKHPyJ4,x squared over 1 minus x squared.,x squared over 1 minus x squared.,$\frac{x^{2}}{1-x^{2}}$
sine inverse of a,$\sin^{-1}(a)$,https://www.youtube.com/watch?v=TpWQlKHPyJ4,sign inverse of A.,sign inverse of A.,$\psi^{-1}(A)$
y prime is 2x,$y^{\prime}=2x$,https://www.youtube.com/watch?v=TpWQlKHPyJ4,Y prime is 2x.,y' is 2x.,$Y^{\prime}S\toX$
the square root of 1 plus the quantity 2x squared dx.,$\sqrt{1+(2x)^{2}}dx$,https://www.youtube.com/watch?v=TpWQlKHPyJ4,The square root of 1 plus the quantity 2x squared dx.,The square root of 1 plus the quantity 2x squared dx.,$\sqrt{1+(2x)^{2}}dx$
the integral from 0 to a of square root of 1 plus 4x squared dx,$\int_{0}^{a}\sqrt{1+4x^{2}}dx$,https://www.youtube.com/watch?v=TpWQlKHPyJ4,The integral from 0 to a of square root of 1 plus 4x squared dx.,The integral from 0 to a of square root of 1 plus 4x squared dx.,$\int_{0}^{a}\sqrt{1+4x^{2}}dx$
dx is equal to a half secant squared u du,$dx\mathrel{\mathop{}}=\frac{1}{2}\sec^{2}udu$,https://www.youtube.com/watch?v=TpWQlKHPyJ4,dx is equal to a half secant squared u du.,dx is equal to 1 by 2 secant squared udu.,$dx:=\frac{1}{2\sec^{2}u}du$
x equals a half tan u,$x=\frac{1}{2}\tan u$,https://www.youtube.com/watch?v=TpWQlKHPyJ4,x equals a half tan u.,x equals 1 by 2 tan u.,$x=\frac{1}{2\tanu}$
 x squared over a squared minus x squared,$x^{2}/a^{2}-x^{2}$,https://www.youtube.com/watch?v=TpWQlKHPyJ4,x squared over a squared minus x squared.,x squared over a squared minus x squared.,$x^{2}/a^{2}-x^{2}$
square root a squared minus x squared,$\sqrt{a^{2}-x^{2}}$,https://www.youtube.com/watch?v=TpWQlKHPyJ4,square root a squared minus x squared.,Square root a squared minus x squared.,$\sqrt{A^{2}-X^{2}}$
the square root of a squared over a squared minus x squared dx,$\sqrt{\frac{a^{2}}{a^{2}-x^{2}}}dx$,https://www.youtube.com/watch?v=TpWQlKHPyJ4,The square root of a squared over a squared minus x squared dx.,The square root of a squared over a squared minus x squared dx.,$\sqrt{\frac{a^{2}}{a^{2}-x^{2}}}dx$
"x, y is equal to a cosine pi over 2, a sine pi over 2","$\displaystyle (x,y)=(a\cos\frac{\pi}{2},a\sin\frac{\pi}{2}).$",https://www.youtube.com/watch?v=TpWQlKHPyJ4,"So at that point, we have x, y is equal to a cosine pi over 2, a sine pi over 2.","So, at that point we have x, y is equal to A cos pi over 2 A sine pi over 2.","$\displaystyle\text{Swatthatpointwehave}(x,y)=(a,\cos\frac{\pi}{2},a,\sin%\frac{\pi}{2})$"
 sine of pi over 2 is 1,$\sin\frac{\pi}{2}=1$,https://www.youtube.com/watch?v=TpWQlKHPyJ4,Sign of pi over 2 is 1.,The sine of pi over 2 is 1.,$\sin\frac{\pi}{2}=1$
 t equals pi over 2,${t}=\frac{\pi}{2}$,https://www.youtube.com/watch?v=TpWQlKHPyJ4,That t equals pi over 2.,At t equals pi over 2.,$\hat{t}=\frac{\pi}{2}$
t equals pi,$\mathcal{t}=\pi$,https://www.youtube.com/watch?v=TpWQlKHPyJ4,T equals pi.,t equals pi.,$\mathcal{T}=\pi$
ds squared is dx squared plus dy squared,$ds^{2}=dx^{2}+dy^{2}$,https://www.youtube.com/watch?v=XRkgBWbWvg4,ds squared is dx squared plus dy squared.,ds squared is dx squared plus dy squared.,$ds^{2}\simdx^{2}+dy^{2}$
the square root of minus a sine t squared plus a cosine t squared dt,"$\displaystyle \sqrt{-a\sin^{2}(t)+a\cos^{2}(t)}\,dt$",https://www.youtube.com/watch?v=XRkgBWbWvg4,is the square root of minus a sine t squared plus a cosine t squared dt.,There's the square root of minus a sine t squared plus a cosine t squared dt.,$\displaystyle=\sqrt{1-a\sin(t)^{2}+a\cos(t)^{2}}dt$
the square root of a squared ,$(\sqrt{a^{2}})$,https://www.youtube.com/watch?v=XRkgBWbWvg4,the square root of A squared.,The square root of a squared.,$\sqrt{a^{2}}$
delta x delta t squared plus delta y delta t the quantity squared,$\displaystyle (\frac{\Delta x}{\Delta t})^{2}+(\frac{\Delta y}{\Delta t})^{2}$,https://www.youtube.com/watch?v=XRkgBWbWvg4,delta x delta t squared plus delta y delta t the quantity squared.,"Delta x delta t squared plus delta y delta t, the quantity squared.",$\displaystyle(\Deltax\Deltat)^{2}+(\Deltay\Deltat)^{2}$
d over dt squared,$(\frac{d}{dt})^{2}$,https://www.youtube.com/watch?v=XRkgBWbWvg4,d over dt squared.,d over dt squared.,$(d/dt)^{2}$
x is 2 sine t,$x=2\sin t$,https://www.youtube.com/watch?v=XRkgBWbWvg4,X is 2 sine T.,x is 2 sine t.,$x\sim2\sint$
 1 quarter of x squared plus y squared,$1/4(x^{2}+y^{2})$,https://www.youtube.com/watch?v=XRkgBWbWvg4,1 quarter of x squared plus y squared.,1 quarter of x squared plus y squared.,$1/4(x^{2}+y^{2})$
2 sine pi over 2,$2\sin\frac{\pi}{2}$,https://www.youtube.com/watch?v=XRkgBWbWvg4,2 sine pi over 2.,2 sine pi over 2.,$2\sin\frac{\pi}{2}$
2 cosine t squared plus sine t,$2(\cos t)^{2}+\sin t$,https://www.youtube.com/watch?v=XRkgBWbWvg4,2 cosine t squared plus sine t.,2 cosine t squared plus sine t.,$2\cost^{2}+\sint$
the square root of 4 cosine squared t plus sine squared t,$\sqrt{4\cos^{2}t+\sin^{2}t}$,https://www.youtube.com/watch?v=XRkgBWbWvg4,The square root of 4 cosine squared t plus sine squared t.,The square root of 4 cos t plus sin t.,$\sqrt{4\cosht+\sinht}$
 y squared equals 1,$\displaystyle y^{2}=1$,https://www.youtube.com/watch?v=XRkgBWbWvg4,Y squared equals 1.,y squared equals 1.,$\displaystyley^{2}=1$
ds squared equals dx squared plus dy squared,$dx^{2}=dx^{2}+dy^{2}$,https://www.youtube.com/watch?v=XRkgBWbWvg4,The square equals the x-word plus the y-square.,ds squared equals dx squared plus dy squared,$ds^{2}=dx^{2}+dy^{2}$
2pi times 2sine t,$2\pi\cdot 2\sin t$,https://www.youtube.com/watch?v=XRkgBWbWvg4,2 pi times 2 sine t.,2 pi times 2 sine t.,$2\pi\cdot2\sint$
theta equals negative pi over 4,$\theta=-\frac{\pi}{4}$,https://www.youtube.com/watch?v=XRkgBWbWvg4,This theta equals negative pi over 4.,Theta equals negative pi over 4.,$\theta=-\frac{\pi}{4}$
theta equals seven pi over four,$\theta=7\pi/4$,https://www.youtube.com/watch?v=XRkgBWbWvg4,theta equals 7 pi over 4.,Theta equals 7pi over 4.,$\theta=7\pi/4$
 r equals square root of 2,$r=\sqrt{2}$,https://www.youtube.com/watch?v=XRkgBWbWvg4,r equals square root of two.,r equals square root of 2.,$r=\sqrt{2}$
r equals one over sine theta,$r=1/\sin\theta$,https://www.youtube.com/watch?v=XRkgBWbWvg4,R equals one over sine theta.,r equals 1 over sine theta.,$r=1/\sin\theta$
 x minus a squared plus y squared is equal to a squared,$x-a^{2}+y^{2}~{}=~{}a^{2}$,https://www.youtube.com/watch?v=XRkgBWbWvg4,x minus a squared plus y squared is equal to a squared.,x minus a squared plus y squared is equal to a squared.,$x-a^{2}+y^{2}~{}=~{}A^{2}$
r squared minus two a r cosine theta equals zero,"$r^{2}-2a\,r\cos\theta=0$",https://www.youtube.com/watch?v=XRkgBWbWvg4,r squared minus 2a r cosine theta equals 0.,r squared minus 2a r cosine theta equals 0.,"$r^{2}-2a\,r\cos\theta=0$"
minus pi over two is less than theta is less than pi over two,$-\frac{\pi}{2}<\theta<\frac{\pi}{2}$,https://www.youtube.com/watch?v=XRkgBWbWvg4,Minus pi over 2 is less than theta. It is less than pi over 2.,Minus pi over 2 is less than theta is less than pi over 2.,$-\frac{\pi}{2}<\theta<\frac{\pi}{2}$
pi a squared,$(\pi a^{2})$,https://www.youtube.com/watch?v=BGE3wb7H2PA,High A squared.,Pi a squared.,$\pia^{2}$
 delta theta divided by 2pi,$\Delta\theta/2\pi$,https://www.youtube.com/watch?v=BGE3wb7H2PA,Delta theta divided by chimpy.,Delta theta divided by 2 pi.,$\Delta\theta/2\pi$
r is equal to 2a cosine theta,"$r\mathrel{\mathop{}}=2a\,\cos\theta$",https://www.youtube.com/watch?v=BGE3wb7H2PA,R is equal to 2a cosine theta.,r is equal to 2a cosine theta.,$R:=2A\cos\theta$
cosine of plus or minus pi over 2 is equal to 0,$\cos(\pm\frac{\pi}{2})=0$,https://www.youtube.com/watch?v=BGE3wb7H2PA,cosine of plus or minus pi over 2 is equal to 0.,Cosine of plus or minus pi over 2 is equal to 0.,$\cos(\pm\pi/2):=0$
4a squared divided by 2,$4a^{2}/2$,https://www.youtube.com/watch?v=BGE3wb7H2PA,4A2 divided by 2,4a squared divided by 2.,$4a^{2}/2$
 integral from minus pi over two pi over two cosine squared theta d theta,$\displaystyle \int_{-\frac{\pi}{2}}^{\frac{\pi}{2}}\cos^{2}\theta d\theta$,https://www.youtube.com/watch?v=BGE3wb7H2PA,"integral from minus pi over 2, pi over 2 cosine squared theta theta","Integral from minus pi over 2, pi over 2, cosine squared theta d theta.",$\displaystyle\int_{-\pi/2}^{\pi/2}\cos^{2}\thetad\theta$
 cosine 2 theta divided by 2,$\cos2\theta \over 2$,https://www.youtube.com/watch?v=BGE3wb7H2PA,cosine 2 theta divided by 2.,Cosine 2 theta divided by 2.,$\cos2\theta/2$
